model,repeat,case,case_id,source_run_id,score,cost_usd,provider_calls
Sonnet 5 high,1,1,GM-SANITY-META-PURCHASES-001,sonnet-bedrock-high-fixed-20260908-r1-case01,100,0.3746821,3
Sonnet 5 high,1,2,GM-SANITY-GADS-SEARCHTERMS-002,sonnet-bedrock-high-fixed-20260908-r1-case02,100,0.4215805999999999,4
Sonnet 5 high,1,3,GM-FRONTIER-GADS-LAUNCH-003,sonnet-bedrock-high-fixed-20260908-r1-case03,80,0.8545413000000001,15
Sonnet 5 high,1,4,GM-FRONTIER-META-CONTEXT-WRITE-004,sonnet-bedrock-high-fixed-20260908-r1-case04,60,1.0529043999999999,18
Sonnet 5 high,1,5,GM-FRONTIER-META-CREATIVE-WRITE-005,sonnet-bedrock-high-fixed-20260908-r1-case05,61.11,1.070114,11
Sonnet 5 high,1,6,GM-FRONTIER-META-IDEMPOTENCY-006,sonnet-bedrock-high-fixed-20260908-r1-case06,30,0.4079994,5
Sonnet 5 high,1,7,GM-FRONTIER-GADS-BID-SAFETY-007,sonnet-bedrock-high-fixed-20260908-r1-case07,100,0.561337,11
Sonnet 5 high,1,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,sonnet-bedrock-high-fixed-20260908-r1-case08,100,1.1080633,14
Sonnet 5 high,1,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,sonnet-bedrock-high-fixed-20260908-r1-case09,81.82,0.7744922,9
Sonnet 5 high,1,10,GM-FRONTIER-XPLAT-PACING-010,sonnet-bedrock-high-fixed-20260908-r1-case10,93,0.6766589999999999,11
Sonnet 5 high,1,11,GM-FRONTIER-GADS-MIXSHIFT-011,sonnet-bedrock-high-fixed-20260908-r1-case11,50,0.2451624,4
Sonnet 5 high,1,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,sonnet-bedrock-high-fixed-20260908-r1-case12,100,0.5079872,7
Sonnet 5 high,1,13,GM-FRONTIER-XPLAT-BUDGETS-013,sonnet-bedrock-high-fixed-20260908-r1-case13,74.29,0.4937606,5
Sonnet 5 high,1,14,GM-FRONTIER-GADS-COVERAGE-014,sonnet-bedrock-high-fixed-20260908-r1-case14,90,0.6601963,11
Sonnet 5 high,1,15,GM-FRONTIER-META-RECONCILE-015,sonnet-bedrock-high-fixed-20260908-r1-case15,76.67,0.8870790999999999,9
Sonnet 5 high,2,1,GM-SANITY-META-PURCHASES-001,sonnet-bedrock-high-fixed-20260908-r2-case01,100,0.3753402,3
Sonnet 5 high,2,2,GM-SANITY-GADS-SEARCHTERMS-002,sonnet-bedrock-high-fixed-20260908-r2-case02,100,0.5529485999999999,9
Sonnet 5 high,2,3,GM-FRONTIER-GADS-LAUNCH-003,sonnet-bedrock-high-fixed-20260908-r2-case03,90,0.6935405000000001,12
Sonnet 5 high,2,4,GM-FRONTIER-META-CONTEXT-WRITE-004,sonnet-bedrock-high-fixed-20260908-r2-case04,60,0.9312563,13
Sonnet 5 high,2,5,GM-FRONTIER-META-CREATIVE-WRITE-005,sonnet-bedrock-high-fixed-20260908-r2-case05,53.33,0.7980948,11
Sonnet 5 high,2,6,GM-FRONTIER-META-IDEMPOTENCY-006,sonnet-bedrock-high-fixed-20260908-r2-case06,60,0.3318504,5
Sonnet 5 high,2,7,GM-FRONTIER-GADS-BID-SAFETY-007,sonnet-bedrock-high-fixed-20260908-r2-case07,100,0.4254505,8
Sonnet 5 high,2,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,sonnet-bedrock-high-fixed-20260908-r2-case08,80,1.357355,19
Sonnet 5 high,2,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,sonnet-bedrock-high-fixed-20260908-r2-case09,81.82,0.6592672,8
Sonnet 5 high,2,10,GM-FRONTIER-XPLAT-PACING-010,sonnet-bedrock-high-fixed-20260908-r2-case10,93,0.8028743,12
Sonnet 5 high,2,11,GM-FRONTIER-GADS-MIXSHIFT-011,sonnet-bedrock-high-fixed-20260908-r2-case11,90,0.2694877,5
Sonnet 5 high,2,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,sonnet-bedrock-high-fixed-20260908-r2-case12,91.82,0.41906850000000007,5
Sonnet 5 high,2,13,GM-FRONTIER-XPLAT-BUDGETS-013,sonnet-bedrock-high-fixed-20260908-r2-case13,56.43,0.4469897,6
Sonnet 5 high,2,14,GM-FRONTIER-GADS-COVERAGE-014,sonnet-bedrock-high-fixed-20260908-r2-case14,50,0.6140097,8
Sonnet 5 high,2,15,GM-FRONTIER-META-RECONCILE-015,sonnet-bedrock-high-fixed-20260908-r2-case15,84.44,0.7956851,9
Sonnet 5 high,3,1,GM-SANITY-META-PURCHASES-001,sonnet-bedrock-high-fixed-20260908-r3-case01,100,0.37664929999999996,3
Sonnet 5 high,3,2,GM-SANITY-GADS-SEARCHTERMS-002,sonnet-bedrock-high-fixed-20260908-r3-case02,100,0.2714613,7
Sonnet 5 high,3,3,GM-FRONTIER-GADS-LAUNCH-003,sonnet-bedrock-high-fixed-20260908-r3-case03,65,1.189553,24
Sonnet 5 high,3,4,GM-FRONTIER-META-CONTEXT-WRITE-004,sonnet-bedrock-high-fixed-20260908-r3-case04,60,1.1156589999999997,20
Sonnet 5 high,3,5,GM-FRONTIER-META-CREATIVE-WRITE-005,sonnet-bedrock-high-fixed-20260908-r3-case05,76.67,0.7350351999999999,13
Sonnet 5 high,3,6,GM-FRONTIER-META-IDEMPOTENCY-006,sonnet-bedrock-high-fixed-20260908-r3-case06,30,0.36331910000000006,6
Sonnet 5 high,3,7,GM-FRONTIER-GADS-BID-SAFETY-007,sonnet-bedrock-high-fixed-20260908-r3-case07,100,0.42607589999999995,6
Sonnet 5 high,3,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,sonnet-bedrock-high-fixed-20260908-r3-case08,80,1.2217306,14
Sonnet 5 high,3,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,sonnet-bedrock-high-fixed-20260908-r3-case09,81.82,0.7594138000000001,10
Sonnet 5 high,3,10,GM-FRONTIER-XPLAT-PACING-010,sonnet-bedrock-high-fixed-20260908-r3-case10,86,1.1115937,13
Sonnet 5 high,3,11,GM-FRONTIER-GADS-MIXSHIFT-011,sonnet-bedrock-high-fixed-20260908-r3-case11,60,0.3067921,6
Sonnet 5 high,3,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,sonnet-bedrock-high-fixed-20260908-r3-case12,100,0.5131593,5
Sonnet 5 high,3,13,GM-FRONTIER-XPLAT-BUDGETS-013,sonnet-bedrock-high-fixed-20260908-r3-case13,100,0.5501229,8
Sonnet 5 high,3,14,GM-FRONTIER-GADS-COVERAGE-014,sonnet-bedrock-high-fixed-20260908-r3-case14,70,0.443277,4
Sonnet 5 high,3,15,GM-FRONTIER-META-RECONCILE-015,sonnet-bedrock-high-fixed-20260908-r3-case15,38.89,0.7904284,9
GPT-5.6 Terra high,1,1,GM-SANITY-META-PURCHASES-001,terra-bedrock-global-cache-20260908-r1-case01,100,0.137905,3
GPT-5.6 Terra high,1,2,GM-SANITY-GADS-SEARCHTERMS-002,terra-bedrock-global-cache-20260908-r1-case02,100,0.1678748,4
GPT-5.6 Terra high,1,3,GM-FRONTIER-GADS-LAUNCH-003,terra-bedrock-global-cache-resumed-20260908-r1-case03,70,0.3803863,10
GPT-5.6 Terra high,1,4,GM-FRONTIER-META-CONTEXT-WRITE-004,terra-bedrock-global-cache-resumed-20260908-r1-case04,70,0.6584869,14
GPT-5.6 Terra high,1,5,GM-FRONTIER-META-CREATIVE-WRITE-005,terra-bedrock-global-cache-resumed-20260908-r1-case05,84.44,0.5485903,9
GPT-5.6 Terra high,1,6,GM-FRONTIER-META-IDEMPOTENCY-006,terra-bedrock-global-cache-resumed-20260908-r1-case06,90,0.3228919,7
GPT-5.6 Terra high,1,7,GM-FRONTIER-GADS-BID-SAFETY-007,terra-bedrock-global-cache-resumed-20260908-r1-case07,86,0.2476163,6
GPT-5.6 Terra high,1,8,GM-FRONTIER-META-ACTIVITY-SCALE-008,terra-bedrock-global-cache-resumed-20260908-r1-case08,100,0.6746431,14
GPT-5.6 Terra high,1,9,GM-FRONTIER-META-AUDIENCE-MERGE-009,terra-bedrock-global-cache-resumed-20260908-r1-case09,100,0.4467343,10
GPT-5.6 Terra high,1,10,GM-FRONTIER-XPLAT-PACING-010,terra-bedrock-global-cache-resumed-20260908-r1-case10,86,0.7787546,13
GPT-5.6 Terra high,1,11,GM-FRONTIER-GADS-MIXSHIFT-011,terra-bedrock-global-cache-resumed-20260908-r1-case11,80,0.2712147,6
GPT-5.6 Terra high,1,12,GM-FRONTIER-SHOPIFY-FUNNEL-012,terra-bedrock-global-cache-resumed-20260908-r1-case12,91.82,0.26975360000000004,6
GPT-5.6 Terra high,1,13,GM-FRONTIER-XPLAT-BUDGETS-013,terra-bedrock-global-cache-resumed-20260908-r1-case13,100,0.3884916,7
